district_name_x,district_code,total_#_of_classes,average_class_size,number_of_students,african_american_%,asian_%,hispanic_%,white_%,native_american_%,"native_hawaiian,_pacific_islander_%","multi-race,_non-hispanic_%",district_name_y,tests_taken_x,score=1,score=2,score=3,score=4,score=5,%_score_1-2,%_score_3-5,district_name_x,tests_takers,tests_taken_y,one_test,two_tests,three_tests,four_tests,five_or_more_tests,district_name_y,high_school_graduates_(#),attending_coll./univ._(#),attending_coll./univ._(%),private_two-year_(%),private_four-year_(%),public_two-year_(%),public_four-year_(%),ma_community_college_(%),ma_state_university_(%),univ.of_mass._(%),district_name_x,tests_taken,reading_/_writing,writing,math,district_name_y,#_in_cohort,%_graduated,%_still_in_school,%_non-grad_completers,%_h.s._equiv.,%_dropped_out,%_permanently_excluded
Greater New Bedford Regional Vocational Technical,8250000,"   1,986",15.1,"      2,106",8.0,1.1,25.4,59.3,0.4,0.1,5.8,Greater New Bedford Regional Vocational Technical,      79,      10,      49,      14,       5,       1,74.7,25.3,Greater New Bedford Regional Vocational Technical,      67,      79,      56,      10,       1,       0,       0,Greater New Bedford Regional Vocational Technical,511.0,240.0,47.0,0.0,15.0,42.5,42.5,42.1,12.5,25.0,Greater New Bedford Regional Vocational Technical,      12,543.0,,533.0,Greater New Bedford Regional Vocational Technical,       546,91.6,1.6,0.0,0.0,6.4,0.4
Greenfield,1140000,     722,16.3,"      1,556",3.0,1.4,20.4,69.5,0.3,0.0,5.4,Greenfield,     129,      30,      49,      26,      14,      10,61.2,38.8,Greenfield,      66,     129,      26,      21,      16,       2,       1,Greenfield,67.0,39.0,58.2,0.0,30.8,35.9,33.3,33.3,10.3,15.4,Greenfield,       2,,,,Greenfield,        73,90.4,5.5,0.0,2.7,1.4,0.0
Greenfield Commonwealth Virtual District,39010000,     340,18.6,"      1,002",7.4,4.5,20.9,59.8,0.1,0.3,7.1,Greenfield Commonwealth Virtual District,      27,       6,       7,       8,       4,       2,48.1,51.9,Greenfield Commonwealth Virtual District,      19,      27,      13,       5,       0,       1,       0,Greenfield Commonwealth Virtual District,59.0,14.0,23.7,0.0,35.7,42.9,21.4,42.9,0.0,21.4,Greenfield Commonwealth Virtual District,       7,,,,Greenfield Commonwealth Virtual District,       118,38.1,20.3,0.0,5.1,36.4,0.0
Groton-Dunstable,6730000,"   1,099",16.8,"      2,274",1.1,7.1,3.5,84.7,0.3,0.1,3.3,Groton-Dunstable,     370,      23,      70,     110,     102,      65,25.1,74.9,Groton-Dunstable,     198,     370,      78,      76,      36,       8,       0,Groton-Dunstable,183.0,160.0,87.4,0.0,39.4,12.5,48.1,11.3,6.3,20.6,Groton-Dunstable,     264,600.0,,621.0,Groton-Dunstable,       185,97.8,2.2,0.0,0.0,0.0,0.0
Hadley,1170000,     399,16.2,        507,4.1,4.5,9.7,75.9,0.4,2.4,3.0,Hadley,      44,       6,       7,      23,       4,       4,29.5,70.5,Hadley,      33,      44,      25,       5,       3,       0,       0,Hadley,30.0,24.0,80.0,0.0,29.2,29.2,41.7,29.2,8.3,12.5,Hadley,      14,595.0,,575.0,Hadley,        33,87.9,6.1,0.0,0.0,6.1,0.0
Halifax,1180000,     274,17.9,        568,1.4,0.0,6.0,89.6,0.4,0.0,2.6,,,,,,,,,,,,,,,,,,Halifax,3.0,,,,,,,,,,,,,,,,,,,,,,
Hamilton-Wenham,6750000,"   1,221",11.8,"      1,683",0.5,3.7,5.2,87.8,0.0,0.2,2.7,Hamilton-Wenham,     219,      38,      45,      61,      53,      22,37.9,62.1,Hamilton-Wenham,     133,     219,      74,      40,      14,       3,       2,Hamilton-Wenham,146.0,119.0,81.5,0.0,57.1,5.9,37.0,5.0,1.7,10.9,Hamilton-Wenham,     124,592.0,,587.0,Hamilton-Wenham,       143,97.2,1.4,0.7,0.0,0.7,0.0
Hampden Charter School of Science East (District),4990000,     252,19.0,        536,30.8,2.2,36.9,26.1,0.6,0.0,3.4,Hampden Charter School of Science East (District),     200,      55,      48,      59,      32,       6,51.5,48.5,Hampden Charter School of Science East (District),     115,     200,      58,      34,      18,       5,       0,Hampden Charter School of Science East (District),48.0,39.0,81.3,0.0,53.8,15.4,30.8,15.4,23.1,7.7,Hampden Charter School of Science East (District),      42,538.0,,532.0,Hampden Charter School of Science East (District),        48,95.8,4.2,0.0,0.0,0.0,0.0
Hampden Charter School of Science West (District),35160000,     162,17.4,        327,16.2,1.2,33.9,47.1,0.0,0.0,1.5,Hampden Charter School of Science West (District),       2,,,,,,,,Hampden Charter School of Science West (District),       1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampden-Wilbraham,6800000,"   1,154",17.9,"      2,892",3.0,2.4,8.6,82.4,0.2,0.1,3.4,Hampden-Wilbraham,     274,      15,      48,      85,      83,      43,23.0,77.0,Hampden-Wilbraham,     156,     274,      78,      45,      28,       3,       2,Hampden-Wilbraham,259.0,207.0,79.9,0.0,46.4,29.5,24.2,24.6,8.2,5.3,Hampden-Wilbraham,     290,557.0,,566.0,Hampden-Wilbraham,       266,96.2,0.4,0.0,0.8,2.6,0.0
Hampshire,6830000,     576,11.2,        684,0.3,1.3,4.1,91.2,0.2,0.0,2.9,Hampshire,     169,      28,      47,      49,      32,      13,44.4,55.6,Hampshire,     110,     169,      71,      27,       6,       4,       2,Hampshire,119.0,86.0,72.3,0.0,22.1,41.9,36.0,41.9,10.5,9.3,Hampshire,      53,604.0,,576.0,Hampshire,       124,93.5,0.0,0.0,2.4,4.0,0.0
Hancock,1210000,      76,7.0,         56,3.6,3.6,1.8,89.3,0.0,0.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanover,1220000,"   1,468",17.7,"      2,641",1.3,2.3,2.4,93.3,0.0,0.0,0.6,Hanover,     494,      54,     138,     148,     113,      41,38.9,61.1,Hanover,     259,     494,     124,      74,      39,      11,      11,Hanover,190.0,154.0,81.1,0.0,48.7,7.8,43.5,7.1,12.3,14.9,Hanover,     208,561.0,,558.0,Hanover,       190,96.8,2.6,0.0,0.0,0.5,0.0
Harvard,1250000,     600,14.2,"      1,008",2.4,12.6,4.5,75.9,0.0,0.0,4.7,Harvard,     257,       6,      27,      58,      68,      98,12.8,87.2,Harvard,     129,     257,      58,      35,      20,      13,       3,Harvard,87.0,74.0,85.1,0.0,56.8,1.4,41.9,1.4,4.1,21.6,Harvard,      80,632.0,,628.0,Harvard,        90,96.7,2.2,0.0,0.0,1.1,0.0
Hatfield,1270000,     293,12.1,        394,0.3,1.0,4.3,92.4,0.0,0.0,2.0,Hatfield,      65,       8,      30,      19,       3,       5,58.5,41.5,Hatfield,      47,      65,      30,      16,       1,       0,       0,Hatfield,31.0,23.0,74.2,0.0,47.8,13.0,39.1,13.0,0.0,17.4,Hatfield,       6,,,,Hatfield,        32,96.9,0.0,0.0,0.0,3.1,0.0
Haverhill,1280000,"   3,998",17.2,"      7,848",5.2,1.8,40.9,49.7,0.2,0.1,2.1,Haverhill,     483,     104,     145,     131,      75,      28,51.6,48.4,Haverhill,     275,     483,     142,      78,      38,      14,       3,Haverhill,413.0,235.0,56.9,0.0,28.5,34.9,36.6,34.0,6.0,17.0,Haverhill,     110,547.0,,545.0,Haverhill,       491,80.4,10.4,0.4,1.0,7.7,0.0
Hawlemont,6850000,      39,15.5,        124,0.0,0.0,4.8,90.3,0.8,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helen Y. Davis Leadership Academy Charter Public (District),4190000,      64,14.7,        189,75.7,0.0,22.2,1.1,0.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hill View Montessori Charter Public (District),4550000,     122,20.7,        304,5.3,0.3,29.3,61.2,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilltown Cooperative Charter Public (District),4500000,      53,25.7,        218,0.9,2.8,3.2,79.8,0.0,0.0,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hingham,1310000,"   2,293",13.4,"      3,941",1.9,2.9,3.6,88.2,0.1,0.0,3.4,Hingham,     588,      15,      62,     170,     196,     145,13.1,86.9,Hingham,     304,     588,     131,      85,      70,      14,       4,Hingham,309.0,256.0,82.8,0.0,56.6,6.3,37.1,6.3,3.9,10.2,Hingham,     365,619.0,,615.0,Hingham,       311,98.4,1.3,0.0,0.3,0.0,0.0
Holbrook,1330000,     695,15.3,"      1,281",21.6,5.9,14.4,50.1,0.3,0.0,7.7,Holbrook,      74,       7,      33,      18,      10,       6,54.1,45.9,Holbrook,      41,      74,      23,       7,       7,       4,       0,Holbrook,71.0,47.0,66.2,0.0,29.8,21.3,48.9,19.1,8.5,38.3,Holbrook,       4,,,,Holbrook,        81,88.9,4.9,1.2,2.5,2.5,0.0
Holland,1350000,      79,15.3,        202,1.0,1.5,7.9,87.1,0.5,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holliston,1360000,"   1,210",21.7,"      2,776",1.2,9.6,5.4,80.6,0.3,0.2,2.8,Holliston,     452,      67,     103,     117,      98,      67,37.6,62.4,Holliston,     254,     452,     121,      80,      42,      10,       1,Holliston,225.0,178.0,79.1,0.0,57.9,4.5,37.6,3.4,5.6,11.8,Holliston,     204,601.0,,601.0,Holliston,       229,96.1,3.5,0.0,0.0,0.4,0.0
Holyoke,1370000,"   2,310",17.1,"      5,095",3.3,0.6,80.8,13.9,0.1,0.0,1.4,Holyoke,     109,      44,      35,      13,      10,       7,72.5,27.5,Holyoke,      71,     109,      44,      18,       7,       2,       0,Holyoke,305.0,111.0,36.4,0.0,29.7,42.3,27.9,39.6,15.3,3.6,Holyoke,      30,542.0,,493.0,Holyoke,       383,72.1,10.7,3.4,1.3,12.5,0.0
Holyoke Community Charter (District),4530000,     184,22.8,        701,0.7,1.0,92.7,3.7,0.0,0.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoosac Valley Regional,6030000,     565,14.6,        980,3.0,0.6,3.0,91.1,0.2,0.0,2.1,Hoosac Valley Regional,     120,      41,      47,      22,       8,       2,73.3,26.7,Hoosac Valley Regional,      76,     120,      47,      14,      15,       0,       0,Hoosac Valley Regional,67.0,41.0,61.2,0.0,46.3,12.2,41.5,9.8,19.5,7.3,Hoosac Valley Regional,      30,525.0,,531.0,Hoosac Valley Regional,        75,84.0,8.0,1.3,0.0,6.7,0.0
Hopedale,1380000,     733,12.8,"      1,094",1.1,1.8,9.5,82.5,0.2,0.2,4.8,Hopedale,     156,      21,      31,      49,      39,      16,33.3,66.7,Hopedale,      97,     156,      59,      22,      12,       3,       1,Hopedale,69.0,58.0,84.1,0.0,25.9,5.2,69.0,1.7,31.0,13.8,Hopedale,      81,583.0,,565.0,Hopedale,        73,93.2,1.4,2.7,1.4,1.4,0.0
Hopkinton,1390000,"   2,249",19.7,"      3,974",0.7,24.1,4.1,66.6,0.3,0.0,4.2,Hopkinton,"   1,087",      33,      78,     267,     374,     335,10.2,89.8,Hopkinton,     498,"   1,087",     192,     131,      94,      55,      26,Hopkinton,295.0,249.0,84.4,0.0,49.8,1.6,48.6,1.6,6.4,17.7,Hopkinton,     344,625.0,,640.0,Hopkinton,       297,98.7,1.3,0.0,0.0,0.0,0.0
Hudson,1410000,"   1,414",15.4,"      2,432",2.3,1.6,15.3,77.8,0.2,0.0,2.9,Hudson,     193,      35,      59,      48,      36,      15,48.7,51.3,Hudson,     125,     193,      68,      46,      11,       0,       0,Hudson,179.0,126.0,70.4,0.0,43.7,15.1,41.3,12.7,15.9,16.7,Hudson,     150,558.0,,538.0,Hudson,       192,90.1,5.7,0.0,1.0,3.1,0.0
Hull,1420000,     525,10.1,        812,1.5,1.4,4.3,90.3,0.1,0.0,2.5,Hull,     107,      10,      35,      21,      31,      10,42.1,57.9,Hull,      56,     107,      28,      12,      11,       4,       1,Hull,73.0,46.0,63.0,0.0,30.4,10.9,58.7,10.9,17.4,26.1,Hull,      47,575.0,,550.0,Hull,        72,95.8,1.4,0.0,1.4,1.4,0.0
Innovation Academy Charter (District),4350000,     658,12.4,        787,8.3,8.5,11.2,67.1,0.1,0.0,4.8,Innovation Academy Charter (District),       5,,,,,,,,Innovation Academy Charter (District),       5,,,,,,,Innovation Academy Charter (District),83.0,63.0,75.9,0.0,49.2,15.9,34.9,15.9,11.1,20.6,Innovation Academy Charter (District),      17,672.0,,702.0,Innovation Academy Charter (District),        88,92.0,5.7,0.0,0.0,2.3,0.0
Ipswich,1440000,"   1,017",15.1,"      1,604",1.3,1.3,7.1,86.3,0.1,0.0,4.0,Ipswich,     266,       9,      48,      63,      66,      80,21.4,78.6,Ipswich,     121,     266,      44,      31,      30,      10,       6,Ipswich,133.0,93.0,69.9,0.0,45.2,11.8,43.0,11.8,7.5,19.4,Ipswich,     145,575.0,,572.0,Ipswich,       142,90.8,4.2,0.0,0.0,4.9,0.0
KIPP Academy Boston Charter School (District),4630000,     127,31.9,        620,65.2,0.0,32.9,0.5,0.5,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIPP Academy Lynn Charter (District),4290000,     483,24.3,"      1,611",18.3,3.3,69.9,5.7,0.2,0.1,2.6,KIPP Academy Lynn Charter (District),     155,      72,      53,      21,       4,       5,80.6,19.4,KIPP Academy Lynn Charter (District),     101,     155,      58,      33,       9,       1,       0,KIPP Academy Lynn Charter (District),112.0,77.0,68.8,0.0,27.3,14.3,58.4,14.3,26.0,29.9,KIPP Academy Lynn Charter (District),       2,,,,KIPP Academy Lynn Charter (District),       109,98.2,0.0,0.0,0.0,1.8,0.0
King Philip,6900000,     815,18.0,"      1,943",2.3,2.6,4.6,87.8,0.2,0.0,2.5,King Philip,     827,      50,     184,     224,     227,     142,28.3,71.7,King Philip,     378,     827,     139,     100,      85,      40,      14,King Philip,328.0,269.0,82.0,0.0,50.6,6.7,42.8,5.2,8.9,16.0,King Philip,     461,576.0,,556.0,King Philip,       345,93.6,4.1,0.3,0.0,2.0,0.0
Kingston,1450000,     402,19.9,"      1,028",0.5,0.6,2.5,95.3,0.3,0.0,0.8,,,,,,,,,,,,,,,,,,Kingston,2.0,,,,,,,,,,,,,,,,,,,,,,
Lawrence,1490000,"   6,805",17.9,"     13,204",1.3,1.2,93.8,3.2,0.0,0.0,0.4,Lawrence,     362,     182,      94,      41,      25,      20,76.2,23.8,Lawrence,     210,     362,     105,      75,      16,      11,       3,Lawrence,759.0,347.0,45.7,0.3,19.6,55.6,24.5,53.9,4.0,18.4,Lawrence,      13,537.0,,541.0,Lawrence,       984,72.8,12.0,5.9,0.5,8.8,0.0
Lawrence Family Development Charter (District),4540000,     406,19.1,        795,0.4,0.1,98.6,0.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning First Charter Public School (District),4860000,     234,24.7,        666,45.8,0.2,45.8,6.2,0.0,0.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee,1500000,     686,8.2,        673,0.9,2.8,8.6,84.3,0.3,0.0,3.1,Lee,      63,       3,      22,      22,      10,       6,39.7,60.3,Lee,      31,      63,      14,       6,       7,       4,       0,Lee,51.0,25.0,49.0,0.0,44.0,20.0,36.0,20.0,4.0,0.0,Lee,      63,546.0,,542.0,Lee,        53,92.5,5.7,0.0,0.0,1.9,0.0
Leicester,1510000,     933,13.7,"      1,387",5.6,3.1,13.5,74.5,0.1,0.0,3.2,Leicester,     102,      17,      27,      31,      21,       6,43.1,56.9,Leicester,      69,     102,      44,      17,       8,       0,       0,Leicester,126.0,84.0,66.7,0.0,39.3,20.2,40.5,20.2,26.2,7.1,Leicester,      48,550.0,,535.0,Leicester,       135,92.6,3.0,0.0,0.0,4.4,0.0
Lenox,1520000,     569,12.1,        744,0.5,5.0,9.3,80.0,0.0,0.3,5.0,Lenox,     105,      23,      38,      12,      13,      19,58.1,41.9,Lenox,      59,     105,      27,      19,      12,       1,       0,Lenox,62.0,41.0,66.1,0.0,39.0,22.0,39.0,22.0,4.9,14.6,Lenox,      26,600.0,,582.0,Lenox,        62,100.0,0.0,0.0,0.0,0.0,0.0
Leominster,1530000,"   2,363",19.6,"      5,969",8.8,3.4,39.0,44.4,0.1,0.1,4.4,Leominster,     300,     108,      66,      58,      45,      23,58.0,42.0,Leominster,     152,     300,      71,      39,      24,      11,       7,Leominster,423.0,229.0,54.1,0.0,19.2,24.0,56.8,23.6,28.4,22.7,Leominster,     103,548.0,,549.0,Leominster,       444,93.5,3.8,0.5,0.7,1.6,0.0
Leverett,1540000,      57,16.9,        118,0.0,0.0,2.5,89.0,0.0,0.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexington,1550000,"   3,443",17.4,"      6,945",3.9,41.9,4.8,41.8,0.1,0.0,7.5,Lexington,"   1,848",      47,     142,     341,     565,     753,10.2,89.8,Lexington,     974,"   1,848",     432,     326,     125,      71,      20,Lexington,551.0,444.0,80.6,0.0,61.3,4.1,34.7,4.1,1.8,13.1,Lexington,     640,667.0,,689.0,Lexington,       564,96.6,3.0,0.0,0.2,0.2,0.0
Libertas Academy Charter School (District),35140000,      80,18.7,        262,14.5,0.8,80.2,2.3,0.8,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln,1570000,     275,21.6,"      1,029",10.0,5.1,17.6,55.1,0.2,0.6,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln-Sudbury,6950000,"   1,138",17.8,"      1,522",5.3,4.3,5.3,77.3,0.1,0.1,7.7,Lincoln-Sudbury,     359,      10,      12,      66,     113,     158,6.1,93.9,Lincoln-Sudbury,     255,     359,     179,      54,      17,       4,       1,Lincoln-Sudbury,353.0,307.0,87.0,0.0,66.4,1.6,31.9,1.6,1.6,11.4,Lincoln-Sudbury,     449,629.0,,645.0,Lincoln-Sudbury,       362,95.6,2.8,0.3,0.3,1.1,0.0
Littleton,1580000,     807,17.6,"      1,578",0.9,12.4,3.2,80.8,0.2,0.2,2.3,Littleton,     186,       8,      23,      38,      57,      60,16.7,83.3,Littleton,      99,     186,      43,      30,      21,       5,       0,Littleton,116.0,99.0,85.3,1.0,37.4,11.1,50.5,11.1,11.1,19.2,Littleton,      87,615.0,,620.0,Littleton,       127,90.6,6.3,0.8,0.0,2.4,0.0
Longmeadow,1590000,"   1,566",15.5,"      2,765",2.6,10.5,5.8,76.6,0.0,0.1,4.4,Longmeadow,     269,      14,      43,      68,      97,      47,21.2,78.8,Longmeadow,     144,     269,      71,      42,      13,      15,       3,Longmeadow,258.0,208.0,80.6,0.0,49.5,15.9,34.6,13.5,3.4,18.3,Longmeadow,     138,615.0,,619.0,Longmeadow,       256,98.0,1.6,0.0,0.4,0.0,0.0
Lowell,1600000,"   8,901",18.1,"     14,364",8.1,27.9,35.6,24.4,0.0,0.0,4.0,Lowell,     214,      54,      65,      42,      33,      20,55.6,44.4,Lowell,     144,     214,      87,      44,      13,       0,       0,Lowell,738.0,416.0,56.4,0.0,19.5,37.7,42.8,37.3,6.7,32.0,Lowell,     151,523.0,,533.0,Lowell,       863,80.9,7.8,0.2,1.7,9.4,0.0
Lowell Community Charter Public (District),4560000,     234,20.6,        796,24.5,18.2,48.7,4.7,0.0,0.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowell Middlesex Academy Charter (District),4580000,     101,11.3,         81,3.7,7.4,39.5,39.5,0.0,0.0,9.9,,,,,,,,,,,,,,,,,,Lowell Middlesex Academy Charter (District),17.0,4.0,23.5,0.0,0.0,100.0,0.0,100.0,0.0,0.0,,,,,,Lowell Middlesex Academy Charter (District),        44,18.2,61.4,0.0,0.0,20.5,0.0
Ludlow,1610000,"   1,596",11.3,"      2,402",1.9,0.7,12.9,80.8,0.0,0.1,3.5,Ludlow,     250,      36,      98,      74,      32,      10,53.6,46.4,Ludlow,     139,     250,      66,      39,      30,       4,       0,Ludlow,191.0,139.0,72.8,0.0,38.1,33.8,28.1,33.8,9.4,13.7,Ludlow,     170,551.0,,541.0,Ludlow,       203,93.6,1.5,1.0,0.5,3.4,0.0
Lunenburg,1620000,     890,17.0,"      1,595",2.0,1.5,9.5,83.4,0.3,0.6,2.7,Lunenburg,     169,       7,      33,      61,      44,      24,23.7,76.3,Lunenburg,      92,     169,      37,      37,      15,       2,       1,Lunenburg,97.0,78.0,80.4,0.0,37.2,10.3,52.6,10.3,26.9,11.5,Lunenburg,      53,573.0,,581.0,Lunenburg,        99,98.0,1.0,0.0,0.0,1.0,0.0
Lynn,1630000,"   5,093",15.4,"     12,825",8.2,7.5,67.9,13.0,0.3,0.0,3.1,Lynn,     781,     370,     229,     115,      48,      19,76.7,23.3,Lynn,     428,     781,     237,      86,      60,      35,      10,Lynn,1062.0,436.0,41.1,0.0,27.8,32.3,39.9,31.2,21.8,15.4,Lynn,     115,533.0,,521.0,Lynn,"     1,254",79.0,6.1,0.6,0.6,13.7,0.0
Lynnfield,1640000,     861,17.6,"      2,179",1.9,6.9,5.8,82.2,0.0,0.0,3.2,Lynnfield,     403,      43,      90,     119,      96,      55,33.0,67.0,Lynnfield,     188,     403,      76,      54,      30,      17,      11,Lynnfield,157.0,134.0,85.4,0.0,44.0,9.0,47.0,8.2,5.2,16.4,Lynnfield,     168,562.0,,565.0,Lynnfield,       159,97.5,1.3,0.0,0.0,1.3,0.0
MATCH Charter Public School (District),4690000,     357,19.9,"      1,220",48.0,0.5,46.8,1.5,0.4,0.3,2.5,MATCH Charter Public School (District),     230,     169,      52,       9,       0,       0,96.1,3.9,MATCH Charter Public School (District),     148,     230,     110,      15,       6,      13,       4,MATCH Charter Public School (District),73.0,55.0,75.3,0.0,41.8,10.9,47.3,10.9,12.7,32.7,MATCH Charter Public School (District),      72,455.0,,503.0,MATCH Charter Public School (District),        72,87.5,8.3,0.0,1.4,2.8,0.0
Ma Academy for Math and Science,4680000,      32,11.0,         44,0.0,63.6,0.0,31.8,0.0,0.0,4.6,Ma Academy for Math and Science,     129,       3,      20,      19,      43,      44,17.8,82.2,Ma Academy for Math and Science,      50,     129,       9,      18,      10,      12,       1,Ma Academy for Math and Science,48.0,44.0,91.7,0.0,77.3,0.0,22.7,0.0,0.0,6.8,Ma Academy for Math and Science,      62,721.0,,770.0,Ma Academy for Math and Science,        48,100.0,0.0,0.0,0.0,0.0,0.0
Malden,1650000,"   2,778",18.6,"      6,237",19.4,23.0,26.4,27.1,0.3,0.0,3.9,Malden,     391,      70,     116,     105,      60,      40,47.6,52.4,Malden,     240,     391,     125,      85,      24,       6,       0,Malden,397.0,213.0,53.7,0.5,26.8,35.7,37.1,35.2,5.2,30.5,Malden,      80,554.0,,584.0,Malden,       488,78.1,9.0,3.1,0.8,9.0,0.0
Manchester Essex Regional,6980000,     671,14.8,"      1,271",0.5,1.2,1.3,96.5,0.0,0.0,0.6,Manchester Essex Regional,     391,      34,      53,     128,     107,      69,22.3,77.7,Manchester Essex Regional,     160,     391,      43,      46,      43,      15,      13,Manchester Essex Regional,112.0,93.0,83.0,0.0,40.9,11.8,47.3,9.7,2.2,23.7,Manchester Essex Regional,      60,617.0,,626.0,Manchester Essex Regional,       111,99.1,0.9,0.0,0.0,0.0,0.0
Mansfield,1670000,"   1,525",15.0,"      3,527",4.5,7.5,6.2,77.4,0.1,0.0,4.1,Mansfield,     544,      25,      97,     175,     160,      87,22.4,77.6,Mansfield,     297,     544,     140,      83,      61,      10,       3,Mansfield,303.0,262.0,86.5,0.0,38.5,4.6,56.5,4.2,10.3,22.1,Mansfield,     280,587.0,,587.0,Mansfield,       308,97.1,1.9,0.0,0.0,1.0,0.0
Map Academy Charter School (District),35170000,     130,15.1,        203,4.9,0.5,15.3,71.9,1.0,0.5,5.9,,,,,,,,,,,,,,,,,,Map Academy Charter School (District),13.0,,,,,,,,,,,,,,,Map Academy Charter School (District),        40,17.5,82.5,0.0,0.0,0.0,0.0
Marblehead,1680000,"   1,603",16.2,"      2,723",3.0,1.4,6.9,85.2,0.0,0.0,3.4,Marblehead,     701,      61,     183,     199,     162,      96,34.8,65.2,Marblehead,     329,     701,     138,      90,      45,      36,      20,Marblehead,253.0,200.0,79.1,0.0,45.5,2.5,52.0,2.0,7.0,10.0,Marblehead,     289,608.0,,599.0,Marblehead,       263,95.1,3.4,0.4,0.4,0.8,0.0
Marblehead Community Charter Public (District),4640000,      89,18.2,        211,5.7,1.9,9.5,80.1,0.0,0.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion,1690000,     313,9.4,        403,4.5,1.5,4.0,84.1,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlborough,1700000,"   3,081",12.2,"      4,901",3.8,0.7,52.8,38.0,0.0,0.0,4.7,Marlborough,     373,     120,     124,      81,      30,      18,65.4,34.6,Marlborough,     168,     373,      57,      52,      31,      23,       5,Marlborough,247.0,134.0,54.3,0.0,32.8,18.7,48.5,18.7,18.7,20.9,Marlborough,     149,526.0,,515.0,Marlborough,       268,89.9,6.3,0.0,0.0,3.7,0.0
Marshfield,1710000,"   2,148",11.6,"      3,817",0.7,1.1,3.6,92.3,0.2,0.2,2.0,Marshfield,     397,      37,      82,     146,      92,      40,30.0,70.0,Marshfield,     204,     397,      90,      58,      35,      19,       2,Marshfield,325.0,253.0,77.8,0.0,37.5,10.7,51.4,9.9,13.4,19.0,Marshfield,     273,574.0,,569.0,Marshfield,       332,97.6,0.9,0.0,0.0,1.5,0.0
Martha's Vineyard,7000000,     423,12.8,        677,5.5,1.3,20.8,65.3,2.1,0.2,4.9,Martha's Vineyard,     328,      67,      92,      88,      62,      19,48.5,51.5,Martha's Vineyard,     150,     328,      55,      48,      24,      11,      12,Martha's Vineyard,156.0,102.0,65.4,0.0,47.1,7.8,45.1,7.8,8.8,10.8,Martha's Vineyard,     136,572.0,,564.0,Martha's Vineyard,       172,90.1,3.5,1.2,0.0,5.2,0.0
Martha's Vineyard Charter (District),4660000,      86,11.6,        166,0.6,0.6,13.3,70.5,1.8,0.0,13.3,,,,,,,,,,,,,,,,,,Martha's Vineyard Charter (District),4.0,,,,,,,,,,Martha's Vineyard Charter (District),       2,,,,,,,,,,,
Martin Luther King Jr. Charter School of Excellence (District),4920000,     108,20.0,        360,30.3,1.1,64.2,3.6,0.3,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masconomet,7050000,     940,15.8,"      1,692",0.7,3.7,3.1,90.0,0.1,0.2,2.4,Masconomet,     339,      11,      45,      80,     128,      75,16.5,83.5,Masconomet,     207,     339,     113,      63,      24,       7,       0,Masconomet,281.0,248.0,88.3,0.0,47.2,9.3,43.5,8.9,5.2,13.7,Masconomet,     282,592.0,,601.0,Masconomet,       291,95.9,2.4,0.0,0.0,1.7,0.0
Mashpee,1720000,     959,14.8,"      1,525",5.1,1.9,5.9,71.9,5.6,0.1,9.5,Mashpee,     196,      35,      62,      46,      39,      14,49.5,50.5,Mashpee,     103,     196,      50,      20,      27,       5,       1,Mashpee,109.0,76.0,69.7,0.0,35.5,27.6,36.8,26.3,9.2,11.8,Mashpee,      40,575.0,,564.0,Mashpee,       117,90.6,4.3,0.0,0.9,4.3,0.0
Mattapoisett,1730000,     402,10.5,        412,0.2,1.0,5.1,88.1,0.0,0.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
